time	m_length	m_force	sc_extension	sc_force	hs_1_pCa	hs_1_length	hs_1_command_length	hs_1_slack_length	hs_1_a_length	hs_1_m_length	hs_1_force	hs_1_titin_force	hs_1_viscous_force	hs_1_extracellular_force	hs_1_inter_hs_titin_force_effect	hs_1_a_pop_1	hs_1_a_pop_2	hs_1_m_pop_1	hs_1_m_pop_2	hs_1_m_pop_3	hs_1_m_pop_4	hs_1_c_pop_1	hs_1_c_pop_2	hs_1_c_pop_3
3.012	1105.000	63096.1	0.630961	63096.1	4.5	1104.37	1100	-nan(ind)	1017.65	809.904	63096.1	2.21414e-11	-0.246242	0	0	0.0185185	0.981481	0.0972222	0.611883	0.109568	0.181327	1	0	0
3.0121	1105.000	62945.1	0.629451	62945.1	4.5	1104.37	1100	-nan(ind)	1017.65	809.898	62945.1	2.21424e-11	0.151028	0	0	0.0208333	0.979167	0.095679	0.616512	0.107253	0.180556	1	0	0
3.0122	1105.000	62463.7	0.624637	62463.7	4.5	1104.38	1100	-nan(ind)	1017.63	809.895	62463.7	2.21437e-11	0.481389	0	0	0.0185185	0.981481	0.0987654	0.613426	0.108025	0.179784	1	0	0
3.0123	1105.000	62633.4	0.626334	62633.4	4.5	1104.37	1100	-nan(ind)	1017.64	809.894	62633.4	2.21435e-11	-0.169666	0	0	0.0115741	0.988426	0.103395	0.607253	0.109568	0.179784	1	0	0
3.0124	1105.000	62665.1	0.626651	62665.1	4.5	1104.37	1100	-nan(ind)	1017.64	809.893	62665.1	2.21436e-11	-0.0317625	0	0	0.0115741	0.988426	0.103395	0.608796	0.107253	0.180556	1	0	0
3.0125	1105.000	62563.8	0.625638	62563.8	4.5	1104.37	1100	-nan(ind)	1017.64	809.893	62563.8	2.21437e-11	0.101376	0	0	0.0115741	0.988426	0.104938	0.61034	0.104167	0.180556	1	0	0
3.0126	1105.000	62959.9	0.629599	62959.9	4.5	1104.37	1100	-nan(ind)	1017.66	809.893	62959.9	2.21429e-11	-0.396097	0	0	0.0185185	0.981481	0.0987654	0.615741	0.104167	0.181327	1	0	0
3.0127	1105.000	62966.2	0.629662	62966.2	4.5	1104.37	1100	-nan(ind)	1017.66	809.891	62966.2	2.21433e-11	-0.00637137	0	0	0.0208333	0.979167	0.0972222	0.614198	0.108025	0.180556	1	0	0
3.0128	1105.000	63192.3	0.631923	63192.3	4.5	1104.37	1100	-nan(ind)	1017.66	809.896	63192.3	2.21422e-11	-0.226114	0	0	0.0231481	0.976852	0.104938	0.607253	0.106481	0.181327	1	0	0
3.0129	1105.000	63385.4	0.633854	63385.4	4.5	1104.37	1100	-nan(ind)	1017.67	809.901	63385.4	2.21412e-11	-0.193051	0	0	0.0162037	0.983796	0.101852	0.612654	0.103395	0.182099	1	0	0
3.013	1105.000	63606.8	0.636068	63606.8	4.5	1104.36	1100	-nan(ind)	1017.68	809.902	63606.8	2.21407e-11	-0.221414	0	0	0.0231481	0.976852	0.101852	0.612654	0.101852	0.183642	1	0	0
3.0131	1105.000	63559.3	0.635593	63559.3	4.5	1104.36	1100	-nan(ind)	1017.67	809.902	63559.3	2.21407e-11	0.0475028	0	0	0.0277778	0.972222	0.108025	0.604167	0.103395	0.184414	1	0	0
3.0132	1105.000	63656.8	0.636568	63656.8	4.5	1104.36	1100	-nan(ind)	1017.68	809.903	63656.8	2.21404e-11	-0.097492	0	0	0.0208333	0.979167	0.108025	0.603395	0.103395	0.185185	1	0	0
3.0133	1105.000	64054.1	0.640541	64054.1	4.5	1104.36	1100	-nan(ind)	1017.68	809.914	64054.1	2.21383e-11	-0.3973	0	0	0.0162037	0.983796	0.104938	0.604938	0.104938	0.185185	1	0	0
3.0134	1105.000	64239.4	0.642394	64239.4	4.5	1104.36	1100	-nan(ind)	1017.69	809.917	64239.4	2.21376e-11	-0.185322	0	0	0.0185185	0.981481	0.101852	0.607253	0.104938	0.185957	1	0	0
3.0135	1105.000	64295.6	0.642956	64295.6	4.5	1104.36	1100	-nan(ind)	1017.69	809.917	64295.6	2.21375e-11	-0.0561345	0	0	0.0162037	0.983796	0.108025	0.596451	0.11034	0.185185	1	0	0
3.0136	1105.000	64153	0.64153	64153	4.5	1104.36	1100	-nan(ind)	1017.68	809.916	64153	2.21379e-11	0.142574	0	0	0.0138889	0.986111	0.109568	0.593364	0.111111	0.185957	1	0	0
3.0137	1105.000	64049.7	0.640497	64049.7	4.5	1104.36	1100	-nan(ind)	1017.69	809.91	64049.7	2.21388e-11	0.103303	0	0	0.00925926	0.990741	0.104938	0.591821	0.116512	0.186728	1	0	0
